Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.03     32.90     0.01                             propagate (d2q9-bgkOld.c:256 @ 401083)
  0.03     32.91     0.01                             propagate (d2q9-bgkOld.c:252 @ 4010e2)
  0.03     32.92     0.01                             propagate (d2q9-bgkOld.c:258 @ 401160)
  0.03     32.93     0.01                             propagate (d2q9-bgkOld.c:257 @ 401171)
  0.03     32.94     0.01                             rebound_collision (d2q9-bgkOld.c:314 @ 401360)
  0.03     32.95     0.01                             rebound_collision (d2q9-bgkOld.c:318 @ 401379)
  0.03     32.96     0.01                             rebound_collision (d2q9-bgkOld.c:337 @ 401422)
  0.03     32.97     0.01                             rebound_collision (d2q9-bgkOld.c:344 @ 401432)
  0.03     32.98     0.01                             rebound_collision (d2q9-bgkOld.c:331 @ 40143b)
  0.03     32.99     0.01                             rebound_collision (d2q9-bgkOld.c:331 @ 401443)
  0.03     33.00     0.01                             rebound_collision (d2q9-bgkOld.c:378 @ 4015b8)
  0.03     33.01     0.01                             rebound_collision (d2q9-bgkOld.c:393 @ 4016c4)
  0.02     33.01     0.01                             propagate (d2q9-bgkOld.c:239 @ 401030)
  0.02     33.02     0.01                             propagate (d2q9-bgkOld.c:241 @ 401080)
  0.02     33.02     0.01                             propagate (d2q9-bgkOld.c:239 @ 40109e)
  0.02     33.03     0.01                             propagate (d2q9-bgkOld.c:241 @ 4010a1)
  0.02     33.03     0.01                             propagate (d2q9-bgkOld.c:260 @ 401150)
  0.02     33.04     0.01                             propagate (d2q9-bgkOld.c:259 @ 401164)
  0.02     33.04     0.01                             propagate (d2q9-bgkOld.c:259 @ 40116a)
  0.02     33.05     0.01                             propagate (d2q9-bgkOld.c:258 @ 40116d)
  0.02     33.05     0.01                             rebound_collision (d2q9-bgkOld.c:371 @ 401349)
  0.02     33.06     0.01                             rebound_collision (d2q9-bgkOld.c:310 @ 4013b1)
  0.02     33.06     0.01                             rebound_collision (d2q9-bgkOld.c:400 @ 4015a5)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2015 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.
