Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.29     28.72     0.09                             propagate (d2q9-bgk.c:253 @ 401070)
  0.29     28.81     0.09                             propagate (d2q9-bgk.c:240 @ 4010a8)
  0.29     28.90     0.09                             propagate (d2q9-bgk.c:254 @ 4010d1)
  0.27     28.98     0.09                             rebound_collision (d2q9-bgk.c:388 @ 4015c2)
  0.27     29.07     0.09                             rebound_collision (d2q9-bgk.c:389 @ 4015c6)
  0.26     29.15     0.08                             rebound_collision (d2q9-bgk.c:387 @ 4015b5)
  0.26     29.23     0.08                             rebound_collision (d2q9-bgk.c:393 @ 401633)
  0.24     29.30     0.08                             av_velocity (d2q9-bgk.c:437 @ 4018f2)
  0.24     29.38     0.08                             rebound_collision (d2q9-bgk.c:352 @ 4013b9)
  0.24     29.45     0.08                             rebound_collision (d2q9-bgk.c:400 @ 401621)
  0.22     29.52     0.07                             rebound_collision (d2q9-bgk.c:359 @ 4013e0)
  0.22     29.59     0.07                             rebound_collision (d2q9-bgk.c:362 @ 4013e3)
  0.22     29.66     0.07                             rebound_collision (d2q9-bgk.c:374 @ 40144b)
  0.22     29.73     0.07                             rebound_collision (d2q9-bgk.c:369 @ 401467)
  0.21     29.80     0.07                             propagate (d2q9-bgk.c:252 @ 4010ce)
  0.21     29.86     0.07                             propagate (d2q9-bgk.c:255 @ 40111b)
  0.21     29.93     0.07                             propagate (d2q9-bgk.c:259 @ 401120)
  0.21     29.99     0.07                             propagate (d2q9-bgk.c:258 @ 401156)
  0.21     30.06     0.07                             propagate (d2q9-bgk.c:259 @ 40115c)
  0.19     30.12     0.06                             propagate (d2q9-bgk.c:256 @ 401117)
  0.19     30.18     0.06                             rebound_collision (d2q9-bgk.c:331 @ 401345)
  0.19     30.24     0.06                             rebound_collision (d2q9-bgk.c:372 @ 401442)
  0.19     30.30     0.06                             rebound_collision (d2q9-bgk.c:371 @ 401447)
  0.19     30.36     0.06                             rebound_collision (d2q9-bgk.c:381 @ 401523)
  0.18     30.41     0.06                             rebound_collision (d2q9-bgk.c:344 @ 401340)
  0.18     30.47     0.06                             rebound_collision (d2q9-bgk.c:387 @ 4015ca)
  0.16     30.52     0.05                             propagate (d2q9-bgk.c:256 @ 401136)
  0.16     30.57     0.05                             rebound_collision (d2q9-bgk.c:385 @ 40154b)
  0.14     30.61     0.05                             propagate (d2q9-bgk.c:257 @ 401143)
  0.14     30.66     0.05                             rebound_collision (d2q9-bgk.c:352 @ 401409)
  0.14     30.70     0.05                             rebound_collision (d2q9-bgk.c:393 @ 401615)
  0.14     30.75     0.05                             rebound_collision (d2q9-bgk.c:394 @ 40161a)
  0.13     30.79     0.04                             propagate (d2q9-bgk.c:245 @ 4010ab)
  0.13     30.83     0.04                             rebound_collision (d2q9-bgk.c:362 @ 4013f4)
  0.10     30.86     0.03                             rebound_collision (d2q9-bgk.c:401 @ 4014b8)
  0.08     30.88     0.03                             rebound_collision (d2q9-bgk.c:359 @ 401401)
  0.08     30.91     0.03                             rebound_collision (d2q9-bgk.c:361 @ 401406)
  0.08     30.93     0.03                             rebound_collision (d2q9-bgk.c:400 @ 4014c5)
  0.08     30.96     0.03                             rebound_collision (d2q9-bgk.c:374 @ 4014ca)
  0.08     30.98     0.03                             rebound_collision (d2q9-bgk.c:311 @ 401668)
  0.06     31.00     0.02                             propagate (d2q9-bgk.c:259 @ 401125)
  0.06     31.02     0.02                             propagate (d2q9-bgk.c:240 @ 401170)
  0.06     31.04     0.02                             rebound_collision (d2q9-bgk.c:331 @ 40139a)
  0.06     31.06     0.02                             rebound_collision (d2q9-bgk.c:380 @ 40155d)
  0.06     31.08     0.02                             rebound_collision (d2q9-bgk.c:394 @ 40162e)
